school,season,enrollment_9_12,source
St. Albans,2021,375,static schools.csv fallback
St. Albans,2022,375,static schools.csv fallback
St. Albans,2023,375,static schools.csv fallback
St. Albans,2024,375,static schools.csv fallback
St. Albans,2025,375,static schools.csv fallback
St. Anselm's Abbey,2017,250,static schools.csv fallback
St. Anselm's Abbey,2018,250,static schools.csv fallback
St. Anselm's Abbey,2019,250,static schools.csv fallback
St. Anselm's Abbey,2021,250,static schools.csv fallback
St. Anselm's Abbey,2022,250,static schools.csv fallback
St. Anselm's Abbey,2023,250,static schools.csv fallback
St. Anselm's Abbey,2024,250,static schools.csv fallback
St. Anselm's Abbey,2025,250,static schools.csv fallback
St. John's College,2017,1100,static schools.csv fallback
St. John's College,2018,1100,static schools.csv fallback
St. John's College,2019,1100,static schools.csv fallback
St. John's College,2021,1100,static schools.csv fallback
St. John's College,2022,1100,static schools.csv fallback
St. John's College,2023,1100,static schools.csv fallback
St. John's College,2024,1100,static schools.csv fallback
St. John's College,2025,1100,static schools.csv fallback
Washington International,2017,450,static schools.csv fallback
Washington International,2018,450,static schools.csv fallback
Washington International,2019,450,static schools.csv fallback
Washington International,2021,450,static schools.csv fallback
Washington International,2022,450,static schools.csv fallback
Washington International,2023,450,static schools.csv fallback
Washington International,2024,450,static schools.csv fallback
Washington International,2025,450,static schools.csv fallback
Washington Latin,2017,580,static schools.csv fallback
Washington Latin,2018,580,static schools.csv fallback
Washington Latin,2019,580,static schools.csv fallback
Washington Latin,2021,580,static schools.csv fallback
Washington Latin,2022,580,static schools.csv fallback
Washington Latin,2023,580,static schools.csv fallback
Washington Latin,2024,580,static schools.csv fallback
Washington Latin,2025,580,static schools.csv fallback
