season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,log_enrollment,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,fit_set,holdout,score_source
2023,Gonzaga College,1,34,M,7,7,-1.302442083518779,-0.9715571537520412,0.3308849297667379,951.09,1012.34,Gonzaga College,private,1,960,Gonzaga College;Gonzaga Coll;Gonzaga College High;Gonzaga College High Scho;Gonzaga College High School;Gonzaga,6.866933284461882,-1.5672503619152276,-0.8519865654070287,0.7152637965081989,2.0,54.0,True,False,posted_team_table
2024,Gonzaga College,2,64,M,34,7,-1.5089192045944582,-1.2217504512612258,0.28716875333323233,951.36,1028.36,Gonzaga College,private,1,960,Gonzaga College;Gonzaga Coll;Gonzaga College High;Gonzaga College High Scho;Gonzaga College High School;Gonzaga,6.866933284461882,-1.302442083518779,-0.9715571537520412,0.3308849297667379,1.0,34.0,True,False,posted_team_table
2025,Gonzaga College,2,52,M,6,6,-1.5130811259054624,-0.9644689065446166,0.5486122193608458,916.76,1008.8,Gonzaga College,private,1,960,Gonzaga College;Gonzaga Coll;Gonzaga College High;Gonzaga College High Scho;Gonzaga College High School;Gonzaga,6.866933284461882,-1.5089192045944582,-1.2217504512612258,0.28716875333323233,2.0,64.0,False,True,posted_team_table
2019,Jackson-Reed,3,87,M,7,7,-1.1807424284524102,-0.22291491737263866,0.9578275110797715,1016.56,1132.11,Jackson-Reed,public,0,2150,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,7.673223121121708,,,,,,False,False,posted_team_table
2021,Jackson-Reed,6,180,M,6,6,-0.5163391374308712,-0.02328346956721292,0.4930556678636583,1093.11,1222.95,Jackson-Reed,public,0,2150,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,7.673223121121708,-1.1807424284524102,-0.22291491737263866,0.9578275110797715,3.0,87.0,True,False,posted_team_table
2022,Jackson-Reed,6,161,,6,6,-0.9914807983578824,-0.05985859972182969,0.9316221986360527,1090.1,1221.0,Jackson-Reed,public,0,2150,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,7.673223121121708,-0.5163391374308712,-0.02328346956721292,0.4930556678636583,6.0,180.0,True,False,reconstructed_from_individuals
2023,Jackson-Reed,6,191,M,5,5,-0.7358590396994245,0.41362170080288563,1.1494807405023102,1055.97,1268.75,Jackson-Reed,public,0,2150,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,7.673223121121708,-0.9914807983578824,-0.05985859972182969,0.9316221986360527,6.0,161.0,True,False,posted_team_table
2024,Jackson-Reed,5,133,M,30,7,-1.433322962645567,-0.9655735465020081,0.4677494161435589,971.63,1097.05,Jackson-Reed,public,0,2150,Jackson-Reed;Jackson-Reed High School;Woodrow Wilson;Woodrow Wils;Woodrow Wilson High Schoo;Woodrow Wilson High School;Wilson,7.673223121121708,-0.7358590396994245,0.41362170080288563,1.1494807405023102,6.0,191.0,True,False,posted_team_table
2022,KIPP DC College Prep,12,351,,7,7,0.3671645623726174,1.7307918599942178,1.3636272976216004,1281.0,1472.6,KIPP DC College Prep,charter,0,700,KIPP DC College Prep;Kipp Dc: College Prep;Kipp Dc: Col;KIPP DC,6.551080335043404,,,,,,False,False,reconstructed_from_individuals
2023,KIPP DC College Prep,14,368,M,6,6,0.18024653401230448,0.8296993708540554,0.6494528368417509,1225.55,1345.77,KIPP DC College Prep,charter,0,700,KIPP DC College Prep;Kipp Dc: College Prep;Kipp Dc: Col;KIPP DC,6.551080335043404,0.3671645623726174,1.7307918599942178,1.3636272976216004,12.0,351.0,True,False,posted_team_table
